SITE_ID,NAME,URL,WBID,AG,BIO,LAT,LON,SCORE
4654,Okeechobee Battlefield Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Okeechobee_Battlefield.pdf,361842.375,290642.25,5.52726841,27.20576286,-80.77459717,0
214,Florida's First Magnitude Springs Florida Forever BOT Project - River Sink Spring,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,0,0,27.76605225,30.27604103,-84.342453,0
1019,Dickerson Bay/Bald Point Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Dickerson_Bay_Bald_Point.pdf,12711512,11729.21484,2.121548653,29.99303818,-84.375,0
4780,St. Joe Timberland Florida Forever BOT Project - Dickerson Bay/Bald Point,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,2320735.5,0,2.136421919,29.93534851,-84.38677216,0
4781,St. Joe Timberland Florida Forever BOT Project - Florida's First Magnitude Springs - St. Marks Springs,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,0,0,1.727716208,30.28806877,-84.15062714,0
4784,St. Joe Timberland Florida Forever BOT Project - Tates Hell/Carrabelle Tract,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,1277606.875,0,1.95608604,29.95079803,-84.53448486,0
4777,St. Joe Timberland Florida Forever BOT Project - Sand Mountain,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,0,882.5056763,5.279174805,30.51199341,-85.51029205,0
4504,Sand Mountain Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Sand_Mountain.pdf,0,2268028.5,1.307793379,30.53631401,-85.50611115,0
1442,Devil's Garden Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Devils_Garden.pdf,91525624,200625728,0.024246676,26.56660271,-81.14875031,0
4785,St. Joe Timberland Florida Forever BOT Project - Apalachicola River,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,1535498.875,324.0296326,17.55381775,30.63382912,-84.86845398,0
555,Millstone Plantation Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Millstone_Plantation.pdf,224873.0313,90737.90625,2.964690685,30.56080437,-84.23480988,0
1638,Longleaf Pine Ecosystem Florida Forever BOT Project - Bell Ridge Sandhills,http://www.dep.state.fl.us/lands/FFAnnual/Longleaf_Pine_Ecosystem.pdf,0,422862.1563,0.146032318,29.7605896,-82.71240234,0
2379,Carr Farm/Price's Scrub Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Carr_Farm_Prices_Scrub.pdf,0,171244.2813,2.432135105,29.48722649,-82.29562378,0
4788,Gulf Hammock Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Gulf_Hammock.pdf,84921784,13312654,0.231745407,29.1121254,-82.69808197,0
4789,Bear Creek Forest Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Bear_Creek_Forest.pdf,88703456,571877.75,0.066438399,30.27598953,-85.35309601,0
2913,Etoniah/Cross Florida Greenway Florida Forever BOT Project - Cross Florida Greenway FPL Additions,http://www.dep.state.fl.us/lands/FFAnnual/Etoniah_Cross_Florida_Greenway.pdf,0,51269.35156,2.961198807,29.41836929,-81.91751862,0
3339,Southeastern Bat Maternity Caves Florida Forever BOT Project - Geromes Cave,http://www.dep.state.fl.us/lands/FFAnnual/Southeastern_Bat_Maternity_Caves.pdf,1057786.75,605.7980347,6.617591381,30.83761406,-85.25706482,0
3557,Middle Chipola River Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Middle_Chipola_River.pdf,34208920,3571583.25,2.615437031,30.67401886,-85.20796204,0
3191,Heather Island/Ocklawaha River Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Heather_Island_Ocklawaha_River.pdf,24962936,785434.25,0.324862242,29.18974113,-81.97668457,0
4794,Pine Island Slough Ecosystem Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Pine_Island_Slough_Ecosystem.pdf,0,148113888,0.035320114,27.68107605,-81.00527954,0
2935,Brevard Coastal Scrub Ecosystem Florida Forever BOT Project - Scrub Jay Refugia - Malabar Scrub Sanctuary,http://www.dep.state.fl.us/lands/FFAnnual/Brevard_Coastal_Scrub_Ecosystem.pdf,154.4095154,857.1904907,103.291832,28.00253105,-80.5765152,0
4772,Brevard Coastal Scrub Ecosystem Florida Forever BOT Project - St. Sebastian-St. Johns River Greenway,http://www.dep.state.fl.us/lands/FFAnnual/Brevard_Coastal_Scrub_Ecosystem.pdf,12929.4541,12217016,0.093836673,27.85004616,-80.66514587,0
4753,St. Joe Timberland Florida Forever BOT Project - St. Vincent Sound-to-Lake Wimico Ecosystem,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,8126991.5,0,0.402574331,29.76625252,-85.20713806,0
4783,St. Joe Timberland Florida Forever BOT Project - St. Joseph Bay Buffer,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,4666817.5,0,1.630995393,29.72587776,-85.26522827,0
111,Pinhook Swamp Florida Forever BOT Project - Pinhook Swamp,http://www.dep.state.fl.us/lands/FFAnnual/Pinhook_Swamp.pdf,36334908,364280.9688,0.048440132,30.48605728,-82.54637146,0
4822,Clay Ranch Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Clay_Ranch.pdf,0,3297579.5,0.301393062,29.71122932,-81.90074158,0
4115,Florida Keys Ecosystem Florida Forever BOT Project - Hammocks of the Lower Keys - Little Torch Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,597398.8125,0,36.82632065,24.67433167,-81.39407349,0
425,Florida Keys Ecosystem Florida Forever BOT Project - Hammocks of the Lower Keys - Ramrod Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,1210582.125,0,14.04283047,24.65619278,-81.41619873,0
505,Florida Keys Ecosystem Florida Forever BOT Project - Hammocks of the Lower Keys - Middle Torch Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,1685184.125,0,30.26375198,24.68638992,-81.41159821,0
4774,Florida Keys Ecosystem Florida Forever BOT Project - Channel Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,55840.47656,0,0,24.79314804,-80.91564941,0
2067,Florida Keys Ecosystem Florida Forever BOT Project - Hammocks of the Lower Keys - Big Torch Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,542026.0625,0,62.72761536,24.70960426,-81.43650055,0
1481,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - North Layton Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,242655.75,0,111.2687454,24.83107376,-80.80840302,0
4807,Florida Keys Ecosystem Florida Forever BOT Project - Tavernier Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,74454.92969,0,26.86188698,24.99660683,-80.50328064,0
2726,Florida Keys Ecosystem Florida Forever BOT Project - Hammocks of the Lower Keys - Little Knockemdown Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,760492.9375,0,21.0389843,24.68375015,-81.46148682,0
398,Florida Keys Ecosystem Florida Forever BOT Project - Wilson Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,65966.45313,0,15.1592207,24.94422531,-80.61177063,0
4808,Florida Keys Ecosystem Florida Forever BOT Project - Marathon/Crawl Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,122186.2578,0,73.65803528,24.74580193,-80.97886658,0
2204,Florida Keys Ecosystem Florida Forever BOT Project - Hammocks of the Lower Keys - Cudjoe Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,1106611.375,0,33.43540573,24.67152214,-81.49472809,0
2900,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - Lower Matecumbe Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,459102.875,0,47.91954041,24.86354256,-80.72375488,0
2527,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - Largo Sound Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,66646.51563,0,225.0680389,25.14425659,-80.39473724,0
4815,Florida Keys Ecosystem Florida Forever BOT Project - Tom's Harbor Keys,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,74881.05469,0,0,24.76674271,-80.92861938,0
4490,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - Tavernier Creek Hammocks,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,106884.9531,0,177.7612152,25.00709915,-80.52007294,0
2749,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - Key Largo Narrows Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,107059.0938,0,186.8127136,25.06799316,-80.46955109,0
4825,Florida's First Magnitude Springs Florida Forever BOT Project - Hardee Spring,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,50795.78125,0,2.352867603,30.54137421,-83.24502563,0
122,Northeast Florida Blueway Florida Forever BOT Project - Phase I,http://www.dep.state.fl.us/lands/FFAnnual/Northeast_Florida_Blueway.pdf,16498227,0,0.112785809,30.3134861,-81.42942047,0
2183,Northeast Florida Blueway Florida Forever BOT Project - Phase II,http://www.dep.state.fl.us/lands/FFAnnual/Northeast_Florida_Blueway.pdf,31714320,435191.75,0.764684796,29.89569283,-81.32480621,0
1767,Northeast Florida Timberlands and Watershed Reserve Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Northeast_Florida_Timberlands_and_Watershed_Reserve.pdf,25853064,32520012,0.137486756,30.29434395,-81.89524841,0
91,Ichetucknee Trace Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Ichetucknee_Trace.pdf,28478.38281,1836131.125,1.438662529,30.03178406,-82.72725677,0
4827,South Goethe Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/South_Goethe.pdf,27882804,7405639.5,0.359034359,29.08973885,-82.53578186,0
4832,Adams Ranch Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Adams_Ranch.pdf,10794689,26839768,0.31135729,27.82370377,-81.08145905,0
272,Dade County Archipelago Florida Forever BOT Project - Tropical Hammocks of the Redlands - Southwest Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,53635.98047,3891.907227,93.2210083,25.40638542,-80.52281189,0
3155,Dade County Archipelago Florida Forever BOT Project - Tropical Hammocks of the Redlands - Silver Palm Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,0,0,0,25.55527878,-80.43112183,0
98,Dade County Archipelago Florida Forever BOT Project - Navy Wells #2,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,0,449.3243408,248.9966431,25.46687317,-80.51177979,0
3325,Dade County Archipelago Florida Forever BOT Project - Miami Rockridge Pinelands - Site 14,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,0,1434.252686,153.8036041,25.48607445,-80.52071381,0
197,Dade County Archipelago Florida Forever BOT Project - Miami Rockridge Pinelands - Site 10,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,0,0,108.3503799,25.51631927,-80.40325928,0
2958,Dade County Archipelago Florida Forever BOT Project - Miami Rockridge Pinelands - Site 9,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,0,0,186.6594543,25.52986145,-80.44018555,0
4327,Dade County Archipelago Florida Forever BOT Project - Miami Rockridge Pinelands - Site 15,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,8789.360352,0,341.0365295,25.44732285,-80.48750305,0
1447,Dade County Archipelago Florida Forever BOT Project - Tropical Hammocks of the Redlands - Maddens Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,236838.3281,0,0,25.91605949,-80.33909607,0
341,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - Pennekamp North Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,5998.40918,0,2333.952148,25.13272667,-80.40059662,0
787,Dade County Archipelago Florida Forever BOT Project - Castellow #28,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,0,0,1496.428467,25.55696297,-80.44480896,0
3199,Dade County Archipelago Florida Forever BOT Project - Round Hammock,http://www.dep.state.fl.us/lands/FFAnnual/Dade_County_Archipelago.pdf,142957.4219,100442.1406,48.96562576,25.39093971,-80.54781342,0
4809,Florida Keys Ecosystem Florida Forever BOT Project - Cotton Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,126690.5156,0,15.78650188,24.96063423,-80.62442017,0
4812,Florida Keys Ecosystem Florida Forever BOT Project - Knockemdown Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,118746.9375,0,58.94888687,24.70481873,-81.49133301,0
4761,Florida's First Magnitude Springs Florida Forever BOT Project - Lafayette Blue Springs,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,4.013558865,243.3373718,3.807276011,30.13223457,-83.23499298,0
4793,Florida's First Magnitude Springs Florida Forever BOT Project - Church Sink,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,19319.18555,0,103.5240326,30.38855743,-84.28539276,0
3296,Wekiva-Ocala Greenway Florida Forever BOT Project - Seminole Springs/Woods,http://www.dep.state.fl.us/lands/FFAnnual/Wekiva_Ocala_Greenway.pdf,0,5823896.5,0.691876352,28.84810448,-81.48886871,0
1788,Wekiva-Ocala Greenway Florida Forever BOT Project - Wekiva-Ocala Connector West,http://www.dep.state.fl.us/lands/FFAnnual/Wekiva_Ocala_Greenway.pdf,16061807,11144588,0.946972907,28.93719292,-81.49542999,0
2394,Wekiva-Ocala Greenway Florida Forever BOT Project - St. Johns River,http://www.dep.state.fl.us/lands/FFAnnual/Wekiva_Ocala_Greenway.pdf,0,1794.936035,28.08679771,28.90263939,-81.37056732,0
4122,Wekiva-Ocala Greenway Florida Forever BOT Project - B.M.K. Ranch,http://www.dep.state.fl.us/lands/FFAnnual/Wekiva_Ocala_Greenway.pdf,0,398104,9.538665771,28.78294373,-81.49047089,0
2253,Southeastern Bat Maternity Caves Florida Forever BOT Project - Grants Cave,http://www.dep.state.fl.us/lands/FFAnnual/Southeastern_Bat_Maternity_Caves.pdf,0,918.0117188,24.42691994,29.64870834,-82.50191498,0
4159,Catfish Creek Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Catfish_Creek.pdf,282094.1563,12223990,1.493184328,27.97684097,-81.45330048,0
2194,Florida's First Magnitude Springs Florida Forever BOT Project - Jackson Blue Springs,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,112944.5234,2888685,2.040186882,30.79867554,-85.13175964,0
1325,Southeastern Bat Maternity Caves Florida Forever BOT Project - Catacombs Cave,http://www.dep.state.fl.us/lands/FFAnnual/Southeastern_Bat_Maternity_Caves.pdf,0,837.6766357,74.02927399,29.09086227,-82.13304901,0
1241,Three Chimneys Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Three_Chimneys.pdf,226929.2031,0,8.813321114,29.28132629,-81.07468414,0
4839,Ayavalla Plantation Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Ayavalla_Plantation.pdf,8332474.5,978197.9375,1.013112426,30.57291222,-84.32325745,0
3285,Indian River Lagoon Blueway Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Indian_River_Lagoon_Blueway.pdf,73497192,2346724.75,1.153119564,28.71138573,-80.82675934,0
4728,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - Grassy Key Hammocks,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,968909.9375,0,15.48131466,24.75906754,-80.95818329,0
1171,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - Newport Hammocks,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,706925.0625,0,33.94984818,25.10703278,-80.42575073,0
3999,Florida Keys Ecosystem Florida Forever BOT Project - Tropical Flyways - Dove Creek Hammocks,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,820132.5,0,58.52712631,25.03147316,-80.50068665,0
4813,Florida Keys Ecosystem Florida Forever BOT Project - Marathon/Fat Deer Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,83121.66406,0,96.24446106,24.7312355,-81.0022583,0
4845,Florida Keys Ecosystem Florida Forever BOT Project - Rodriguez Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,88690.125,0,45.10084915,25.05235863,-80.45386505,0
4787,Florida Keys Ecosystem Florida Forever BOT Project - Saddlebunch Keys,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,2037471.25,0,5.889653683,24.59752655,-81.6374588,0
4811,Florida Keys Ecosystem Florida Forever BOT Project - Great White Heron Keys,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,393944.2188,0,15.23058319,24.69359779,-81.64852905,0
4816,Florida Keys Ecosystem Florida Forever BOT Project - Islamorada/Upper Matecumbe Keys,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,217993.9375,0,128.4439392,24.91726112,-80.63562012,0
4786,Florida Keys Ecosystem Florida Forever BOT Project - Budd Key,http://www.dep.state.fl.us/lands/FFAnnual/Florida_Keys_Ecosystem.pdf,12113.68457,0,165.1025238,24.72700882,-81.51882935,0
2008,Florida's First Magnitude Springs Florida Forever BOT Project - St. Marks Springs,http://www.dep.state.fl.us/lands/FFAnnual/Floridas_First_Magnitude_Springs.pdf,0,0,9.947094917,30.2831707,-84.14899445,0
4842,Bear Hammock Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Bear_Hammock.pdf,6628197,130348.4922,0.316594034,29.07487679,-82.51316833,0
1190,Southeastern Bat Maternity Caves Florida Forever BOT Project - Sumter County Cave,http://www.dep.state.fl.us/lands/FFAnnual/Southeastern_Bat_Maternity_Caves.pdf,706139.8125,55707.49219,2.823845863,28.67919922,-82.25559998,0
3998,Old Town Creek Watershed Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Old_Town_Creek_Watershed.pdf,0,10547336,0.135342881,27.62987137,-81.59170532,0
4792,Lake Wales Ridge Ecosystem Florida Forever BOT Project - Lake Josephine,http://www.dep.state.fl.us/lands/FFAnnual/Lake_Wales_Ridge_Ecosystem.pdf,2129799,265477.375,2.347639322,27.40482712,-81.44055176,0
4798,Little River Conservation Area Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Little_River_Conservation_Area.pdf,4790746,183665.2656,1.303759694,30.57215881,-84.50249481,0
3654,Battle of Wahoo Swamp Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Battle_of_Wahoo_Swamp.pdf,0,29736.64648,3.184933662,28.69023132,-82.22042847,0
692,Baldwin Bay/St. Marys River Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Baldwin_Bay_St_Marys_River.pdf,756420.25,867167.4375,0.088300787,30.35923386,-81.98949432,0
4770,Upper Shoal River Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Upper_Shoal_River.pdf,0,61997.375,0.102664188,30.84700775,-86.32019806,0
3337,Lochloosa Wildlife Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Lochloosa_Wildlife.pdf,19324252,1759715,0.999772429,29.52667618,-82.17350769,0
4764,San Pedro Bay Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/San_Pedro_Bay.pdf,22726298,20359.61328,0.010982751,30.28609467,-83.47380066,0
4849,Triple Diamond Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Triple_Diamond.pdf,25486934,6706661,0.030901944,27.5101223,-81.08141327,0
1063,Panther Glades Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Panther_Glades.pdf,2434028.25,93458592,0.081565723,26.36544228,-81.12042236,0
2923,Pineland Site Complex Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Pineland_Site_Complex.pdf,603394.8125,35251.99219,0,26.65600777,-82.14754486,0
4851,Maytown Flatwoods Florida Forever BOT Project,http://www.dep.state.fl.us/lands/FFAnnual/Maytown_Flatwoods.pdf,466620.25,18962.1875,0.244583532,28.72316933,-80.93721008,0
1650,St. Joe Timberland Florida Forever BOT Project - Lake Wimico,http://www.dep.state.fl.us/lands/FFAnnual/St_Joe_Timberland.pdf,0,0,0.039285984,29.84848022,-85.13316345,0
